No,순번,본부명,소방서,주소,전화번호,FAX,경도,위도
209,209,경남소방본부,양산소방서,경상남도 양산시 물금읍 황산로 719,055-379-9212,055-379-9219,129.010450483193,35.3342287352937
210,210,경남소방본부,의령소방서,경상남도 의령군 의령읍 의병로 108-17,055-570-9212,055-570-9219,128.248187544974,35.3192686757453
211,211,경남소방본부,진주소방서,경상남도 진주시 동진로 249,055-760-9212,055-760-9219,128.118286035062,35.1806003927529
212,212,경남소방본부,창녕소방서,경상남도 창녕군 대지면 우포2로 1097,055-259-9212,055-259-9219,128.479127915588,35.550448498934
213,213,창원소방본부,마산소방서,경상남도 창원시 마산합포구 제2부두로 55,055-249-9212,055-249-9219,128.574764416692,35.1981177584711
214,214,창원소방본부,진해소방서,경상남도 창원시 진해구 진해대로 1101,055-548-9212,055-548-9219,128.710200728096,35.1330930901758
215,215,창원소방본부,창원소방서,경상남도 창원시 의창구 상남로 165,055-211-9212,055-211-9219,128.68558693095,35.2274699437222
216,216,경남소방본부,통영소방서,경상남도 통영시 광도면 죽림4로 49,055-640-9212,055-640-9219,128.419017189386,34.8835306697962
217,217,경남소방본부,하동소방서,경상남도 하동군 금성면 금성로 15,055-880-9212,055-880-9219,127.795542084099,34.9778830738015
218,218,경남소방본부,함안소방서,경상남도 함안군 가야읍 선왕길 59,055-580-9212,055-580-9219,128.399986194819,35.2862025276639
219,219,경남소방본부,함양소방서,경상남도 함양군 함양읍 고운로 161-41,055-960-9212,055-960-9219,127.742003298852,35.5238537918414
220,220,경남소방본부,합천소방서,경상남도 합천군 합천읍 인덕로 2453,055-930-9212,055-930-9219,128.148250271716,35.5729930645806
221,221,제주소방본부,서귀포소방서,제주특별자치도 서귀포시 서호남로 20(법환동),064-730-7133,730-7129,126.514037821816,33.2500432864891
222,222,제주소방본부,동부소방서,제주특별자치도 서귀포시 성산읍 일주동로 4120번길 7,064-780-9133,780-9129,126.909727607436,33.4600147460067
223,223,제주소방본부,제주소방서,제주특별자치도 제주시 중앙로 342(이도이동),064-729-0134,729-0110,126.536659805193,33.4908891305695
224,224,제주소방본부,서부소방서,제주특별자치도 제주시 한림읍 한림중앙로 150,064-795-0134,795-0129,126.270278343074,33.4025229868172
